dataset,documents,queries,split,projection_dimension,semantic_reference,semantic_top_per_cell,lexical_top_per_cell,semantic_ndcg10,semantic_ndcg10_retention,semantic_recall100,semantic_recall100_retention,lexical_ndcg10,lexical_ndcg10_retention,lexical_recall100,lexical_recall100_retention,heldout_semantic_ndcg10,heldout_dual_ndcg10,heldout_dual_gain,heldout_dual_gain_ci95_low,heldout_dual_gain_ci95_high,semantic_recall20,dual_recall20,pisces_union10_recall,dual_recall_at_pisces_cardinality,server_batched_ms,server_interactive_ms,communication_mib,estimated_storage_gib,lexical_lookup_ms,semantic_client_rerank_ms,duetrank_client_ms,source
NQ,2681468,3452,test,256,exact dense,16,16,0.5181238838564325,0.9941658967416803,0.9066966010042488,0.9618674451956567,0.20427739290786215,0.9964706769380057,0.6110950173812284,0.9861316712115311,0.5151346750195098,0.5193223679560282,0.004187692936518332,0.0023851179713042106,0.005945446615573806,0.8164654015717846,0.8234937064724298,0.7743434924285988,0.8141971758993034,67.3779877746171,235.91211757955597,3.8662567138671875,4.753263458609581,65.66077334826085,18.511334636924353,2.3097959938657477,results/generated/dual_compartment_full/nq/results.json
HotpotQA,5233329,7405,test,256,exact dense,16,8,0.6390880360402172,0.9881288147305091,0.7619401305424263,0.9606140574898556,0.46099485184983374,0.9825858709793497,0.6291694800810264,0.9544197480282701,0.6406171758505509,0.6621915164915713,0.02157434064102035,0.018576875005818543,0.024654325546834655,0.7062388591800357,0.7376114081996435,0.716488413547237,0.7325311942959002,48.58023777640249,340.3923260098765,2.8213348388671875,8.800000293180346,43.61057237011068,23.59795160477165,2.403282201425855,results/generated/dual_compartment_full/hotpotqa/results.json
MS MARCO,8841823,6980,dev,256,pre-compartment global-DPE IVF,32,16,0.2879869793679193,0.9995917654576114,0.7619746895893027,0.9745159714163563,0.2096041698782121,0.9950064854955702,0.6164637058261699,0.9922747275976709,0.2834865032566423,0.2969183742670372,0.013431871010394931,0.007905866030837448,0.01873108262329471,0.5848459065986009,0.6218094157685763,0.5723671771601436,0.6035640007562867,99.21088173322431,1022.9680024903629,5.5459442138671875,14.97837877459824,85.07820858130096,58.88270901146111,5.249930913216393,results/generated/dual_compartment_full/msmarco_dev/results.json
