documents,path,runs,query_observations,latency_mean_s,latency_std_s,latency_p95_s,upload_mean_mib,download_mean_mib,recall_at_10_mean,exact_top1_rate,wall_mean_s,max_rss_mean_kib
256,bm25,1,3,2.5326666666666666,0.08186777957984037,2.626,20.220070203145344,7.826894760131836,0.9333333333333332,1.0,7.84,451468.0
256,similarity,1,3,3.026666666666667,0.04936935621752969,3.068,21.268490473429363,9.145068168640137,0.9333333333333332,1.0,9.81,557848.0
1990,bm25,5,15,2.5411333333333332,0.08492254173797495,2.741,22.457604726155598,23.966695149739582,0.98,1.0,8.102,482076.0
1990,similarity,5,15,3.1492,0.10118667331789724,3.33,24.830319277445476,26.454901631673177,0.8,1.0,10.672,622131.2
